,Value,Size,Type,Bind,Vis,Ndx,Name
,02000000,4,OBJECT,LOCAL,DEFAULT,1,blkdev_list
,02000004,1024,OBJECT,LOCAL,DEFAULT,1,g_usb_input_buf
,02000404,1024,OBJECT,LOCAL,DEFAULT,1,g_usb_output_buf
,02000804,1,OBJECT,GLOBAL,DEFAULT,1,g_da_verified
,02000805,32,OBJECT,LOCAL,DEFAULT,1,g_I2C_CmdBuf
,02000828,4,OBJECT,LOCAL,DEFAULT,1,dlcomport
,0200082c,32,OBJECT,LOCAL,DEFAULT,1,g_I2C_DataBuf
,0200084c,4,OBJECT,LOCAL,DEFAULT,1,g_meta_ready_start_time
,02000850,8,OBJECT,LOCAL,DEFAULT,1,g_addr_trans_tbl
,02000858,40,OBJECT,LOCAL,DEFAULT,1,g_mmc_bdev
,02000880,8,OBJECT,GLOBAL,DEFAULT,1,g_emmc_size
,02000888,144,OBJECT,LOCAL,DEFAULT,1,g_emmc_addr_trans
,02000918,1456,OBJECT,GLOBAL,DEFAULT,1,sd_card
,02000ec8,200,OBJECT,GLOBAL,DEFAULT,1,sd_host
,02000f90,40,OBJECT,LOCAL,DEFAULT,1,msdc_priv
,02000fb8,8,OBJECT,LOCAL,DEFAULT,1,msdc_tune_forcing
,02000fc0,8,OBJECT,LOCAL,DEFAULT,1,msdc_clock_divisor
,02000fc8,22,OBJECT,LOCAL,DEFAULT,1,id
,02000fe0,16,OBJECT,GLOBAL,DEFAULT,1,board_dram_info
,02000ff0,4,OBJECT,LOCAL,DEFAULT,1,fw_id_len
,02000ff4,4,OBJECT,LOCAL,DEFAULT,1,found.4234
,02000ff8,1,OBJECT,LOCAL,DEFAULT,1,g_rtc_2sec_stat
,02000ff9,1,OBJECT,LOCAL,DEFAULT,1,recovery_flag
,02000ffa,1,OBJECT,LOCAL,DEFAULT,1,save_stat.4388
,02000ffc,4,OBJECT,GLOBAL,DEFAULT,1,set_address
,02001000,4,OBJECT,LOCAL,DEFAULT,1,ep0_urb
,02001004,4,OBJECT,GLOBAL,DEFAULT,1,g_usb_port_state
,02001008,4,OBJECT,LOCAL,DEFAULT,1,udc_device
,0200100c,4,OBJECT,GLOBAL,DEFAULT,1,ep0_state
,02001010,4,OBJECT,GLOBAL,DEFAULT,1,g_usbphy_ok
,02001014,1052,OBJECT,GLOBAL,DEFAULT,1,mt6573_rx_urb
,02001430,12,OBJECT,LOCAL,DEFAULT,1,mt_usb_config
,0200143c,1052,OBJECT,GLOBAL,DEFAULT,1,mt6573_ep0_urb
,02001858,28,OBJECT,LOCAL,DEFAULT,1,mt_usb_comm_alternate_int
,02001874,112,OBJECT,LOCAL,DEFAULT,1,mt_usb_ep
,020018e4,4,OBJECT,GLOBAL,DEFAULT,1,usb_configured
,020018e8,4,OBJECT,GLOBAL,DEFAULT,1,usb_string_table
,020018ec,24,OBJECT,LOCAL,DEFAULT,1,usb_output_buffer
,02001904,64,OBJECT,LOCAL,DEFAULT,1,commInterface
,02001944,46,OBJECT,LOCAL,DEFAULT,1,dataInterface
