   text	   data	    bss	    dec	    hex	filename
    268	      0	      0	    268	    10c	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/addr_trans.o
    980	      0	      4	    984	    3d8	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/blkdev.o
    268	      0	   2048	   2316	    90c	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/circbuf.o
      0	    988	      0	    988	    3dc	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/custom_emi.o
    149	    960	      0	   1109	    455	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/cust_part.o
    353	      0	      0	    353	    161	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/device_apc.o
     33	      0	      0	     33	     21	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/div0.o
      0	      0	      0	      0	      0	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/download_legacy.o
      0	      0	      0	      0	      0	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/download_legacy_utils.o
   2391	      0	     69	   2460	    99c	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/download.o
    320	      0	      0	    320	    140	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/eabi_idiv.o
    200	      0	      0	    200	     c8	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/eabi.o
    332	      0	      0	    332	    14c	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/eabi_uldivmod.o
   1088	   2314	      0	   3402	    d4a	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/gpio.o
    582	      8	      4	    594	    252	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/handshake_uart.o
   1176	      8	      0	   1184	    4a0	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/handshake_usb.o
    612	      0	      0	    612	    264	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/init.o
   1998	      0	      0	   1998	    7ce	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/main.o
    188	      0	      0	    188	     bc	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/memory_test.o
    998	      0	    200	   1198	    4ae	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mmc_common_inter.o
   8200	      0	   1656	   9856	   2680	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mmc_core.o
      0	      0	      0	      0	      0	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mmc_dbg.o
      0	      0	      0	      0	      0	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mmc_test.o
      0	     52	      0	     52	     34	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/msdc_cust.o
    274	      0	      0	    274	    112	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/msdc_irq.o
   8858	      0	     56	   8914	   22d2	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/msdc.o
      0	      0	      0	      0	      0	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/msdc_utils.o
  10854	      4	     50	  10908	   2a9c	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_emi.o
    848	      0	      0	    848	    350	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_gpio_init.o
   4120	      0	      0	   4120	   1018	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_i2c.o
   1061	      0	      0	   1061	    425	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mtk_key.o
    454	      0	      0	    454	    1c6	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mtk_pll.o
   2803	      0	     12	   2815	    aff	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mtk_pmic_6323.o
    368	      0	      8	    376	    178	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mtk_timer.o
   1293	      0	     20	   1313	    521	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mtk_wdt.o
   1172	      0	      0	   1172	    494	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_memory.o
     30	      0	      0	     30	     1e	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_mmmfg_sram_repair.o
    628	      0	      0	    628	    274	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_mmsys_mfg_onoff.o
    196	      0	      0	    196	     c4	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_pl_ptp.o
   5104	      0	      0	   5104	   13f0	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_pmic_wrap_init.o
   4671	      0	      3	   4674	   1242	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_rtc.o
   3279	     11	     24	   3314	    cf2	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_usbd.o
   1942	      0	      0	   1942	    796	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_usbphy.o
   2083	    167	   3676	   5926	   1726	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/mt_usbtty.o
   1035	      8	 138136	 139179	  21fab	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/partition_mt.o
   1067	      0	      0	   1067	    42b	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/part.o
   2924	      0	   3128	   6052	   17a4	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/platform.o
    546	      4	      4	    554	    22a	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/print.o
    415	      0	      0	    415	    19f	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/sec_auth.o
    418	      0	      0	    418	    1a2	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/sec_boot.o
      2	      0	      0	      2	      2	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/sec_ctrl.o
      2	      0	      0	      2	      2	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/sec_flashtool_cfg.o
    209	      0	    512	    721	    2d1	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/sec_key.o
   1203	      0	      8	   1211	    4bb	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/sec.o
    323	      0	      0	    323	    143	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/sec_region.o
    109	    960	      0	   1069	    42d	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/sec_rom_info.o
    456	      0	      4	    460	    1cc	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/sec_secroimg.o
   1031	      0	      2	   1033	    409	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/sec_util.o
    162	      0	      0	    162	     a2	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/stdlib.o
    136	      0	      0	    136	     88	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/string.o
    513	      4	      0	    517	    205	../../out/target/product/hexing72_cwet_kk/obj/PRELOADER_OBJ/obj/uart.o
